LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SalePrice,Categoria
10175,6,5,1425,2,0,3,7,1,576,180500,2
2645,8,5,970,2,1,3,7,0,480,172500,2
11645,7,5,860,2,1,3,7,0,565,196500,2
13682,10,5,1410,3,1,3,10,1,641,438780,3
7200,5,7,780,1,0,2,4,0,352,124900,2
13072,6,5,1158,1,1,3,5,0,576,158000,2
7200,5,7,530,1,0,3,6,0,288,101000,1
6442,8,5,1370,2,0,2,6,1,484,202500,2
10300,7,6,576,2,0,3,9,0,480,140000,2
9375,7,5,1057,2,1,3,8,0,645,219500,2
9591,8,5,1143,2,1,4,9,1,852,317000,3
19900,7,5,1947,2,0,3,7,1,576,180000,2
10665,7,5,1453,2,0,3,7,0,558,226000,2
4608,4,6,747,1,0,2,4,0,220,80000,1
15593,7,4,1304,2,0,3,7,1,667,225000,2
13651,7,6,2223,2,0,3,8,2,516,244000,3
7599,4,6,845,1,0,2,4,0,360,129500,2
10141,7,5,832,2,1,3,7,1,427,185000,2
10200,5,7,1086,1,0,3,6,0,490,144900,2
5790,3,6,840,2,0,3,8,0,379,107400,1
1596,4,5,462,1,0,2,5,0,297,91000,1
8475,4,7,952,1,0,2,4,0,283,135750,2
8635,5,5,672,1,0,2,6,0,240,127000,2
10778,4,5,1768,2,0,4,8,0,0,136500,2
10440,5,6,440,1,1,2,5,0,440,110000,1
13000,6,6,896,2,1,4,8,1,509,193500,2
4500,6,5,1237,2,0,2,5,0,405,153500,2
10206,8,5,1563,2,0,3,6,1,758,245000,3
8892,5,5,1065,1,1,3,6,0,461,126500,2
8530,7,5,384,2,1,3,7,1,400,168500,2
16059,8,5,1288,2,1,4,9,1,462,260000,3
11911,6,5,684,2,1,3,6,1,400,174000,2
3951,6,5,612,2,1,2,4,0,528,164500,2
8470,3,2,1013,1,0,2,6,0,0,85000,1
8070,4,5,990,1,0,3,5,0,0,123600,2
7200,4,5,0,1,0,2,4,0,420,109900,1
8500,5,3,1235,1,0,2,6,0,480,98600,1
13360,5,7,876,1,0,2,5,0,432,163500,2
7200,6,6,1214,2,0,4,9,1,506,133900,2
9337,6,5,824,2,1,3,7,0,684,204750,2
9765,6,8,680,2,1,3,6,1,420,185000,2
10264,7,5,1588,2,0,3,6,0,472,214000,2
10921,4,5,960,1,0,3,6,0,432,94750,1
10625,5,5,458,1,0,2,5,0,366,83000,1
9320,4,5,950,1,1,3,6,0,0,128950,2
10603,6,7,1610,2,0,3,6,2,480,205000,2
9206,6,5,741,2,1,3,7,1,476,178000,2
7018,5,5,0,2,0,4,8,0,410,118964,2
10402,7,5,1226,2,0,3,6,0,740,198900,2
7758,7,4,1040,1,1,4,7,2,240,169500,2
9375,8,5,1053,2,1,3,9,1,648,250000,3
10800,4,7,641,1,0,2,6,0,273,100000,1
6000,5,5,789,1,0,2,5,0,250,115000,1
8500,5,7,793,2,0,3,7,0,0,115000,1
11751,6,6,1844,2,0,3,7,1,546,190000,2
9525,6,4,994,2,0,4,7,0,325,136900,2
7750,7,5,384,2,1,3,7,1,400,180000,2
9965,7,5,1264,2,1,4,10,1,792,383970,3
21000,6,5,1809,2,0,3,7,2,450,217000,2
7259,6,8,1028,2,1,3,9,1,180,259500,3
3230,6,5,729,2,1,2,5,1,440,176000,2
11616,5,5,1092,1,0,3,6,1,288,139000,2
8536,5,5,1125,1,1,2,5,0,430,155000,2
12376,7,5,1673,3,0,5,11,2,594,320000,3
8461,6,5,728,2,1,3,8,1,390,163990,2
21453,6,5,938,1,0,1,4,2,540,180000,2
6060,4,5,732,1,0,3,4,0,264,100000,1
9464,6,7,1080,1,0,3,5,0,288,136000,2
7892,6,5,1199,2,0,2,5,0,530,153900,2
17043,6,5,1362,2,0,3,7,1,435,181000,2
6780,6,8,520,1,0,2,5,0,0,84500,1
4928,6,5,1078,2,0,2,5,1,440,128000,2
4388,5,7,672,1,0,3,5,1,0,87000,1
7590,6,5,660,1,1,3,6,1,453,155000,2
8973,5,7,1008,1,1,3,6,0,750,150000,2
14200,7,6,924,2,1,4,8,2,487,226000,2
12224,6,5,992,2,1,3,7,1,390,244000,3
7388,5,6,1063,1,0,3,7,0,624,150750,2
6853,8,5,1267,2,0,2,6,0,471,220000,2
10335,5,6,1461,2,1,3,7,1,440,180000,2
10400,7,6,1304,2,0,3,7,1,530,174000,2
10355,5,5,1214,2,0,3,5,1,318,143000,2
11070,7,5,1907,3,0,5,9,0,766,171000,2
9066,8,5,1004,2,1,3,7,2,660,230000,2
15426,6,5,928,2,1,3,7,0,470,231500,3
10500,4,5,864,1,0,3,5,1,0,115000,1
11645,7,5,1734,2,0,3,7,0,660,260000,3
8520,5,4,910,2,0,4,6,0,720,166000,2
10335,7,5,1490,2,0,3,6,0,577,204000,2
9100,5,5,1728,2,0,6,10,0,504,125000,2
2522,6,5,970,2,0,3,7,0,380,130000,2
6120,5,7,715,1,0,2,5,0,180,105000,1
9505,7,5,884,2,1,3,8,1,434,222500,2
7500,7,5,1080,1,0,3,6,0,0,141000,2
6240,5,4,896,1,0,3,7,0,240,115000,1
10356,5,6,969,1,1,3,5,0,440,122000,2
13891,8,5,1710,2,0,2,6,1,866,372402,3
14803,6,5,825,2,1,4,8,1,495,190000,2
13500,6,7,1602,1,0,1,4,1,564,235000,3
11340,6,5,1200,1,0,4,7,0,312,125000,2
9600,6,5,572,1,0,2,5,0,0,79000,1
7200,5,7,0,1,0,2,5,0,625,109500,1
12003,8,5,774,2,1,4,8,1,680,269500,3
12552,7,5,991,2,1,3,8,1,678,254900,3
19378,7,5,1392,2,1,4,9,1,576,320000,3
11120,6,6,1232,2,0,3,6,0,516,162500,2
13688,9,5,1572,2,1,3,10,2,726,412500,3
12182,7,5,1541,2,0,3,7,1,532,220000,2
5500,4,6,882,1,0,1,4,0,0,103200,1
5400,6,7,1149,2,0,3,5,0,216,152000,2
10106,5,7,644,2,0,4,6,0,0,127500,2
10708,5,5,1617,1,0,2,7,3,303,190000,2
10562,8,5,1582,1,1,3,8,1,789,325624,3
8244,7,5,840,2,1,3,7,1,440,183500,2
16669,8,6,1686,2,1,2,6,1,511,228000,2
12358,5,6,720,1,1,2,7,0,660,128500,2
31770,6,5,1080,1,0,3,7,2,528,215000,2
5306,7,7,1064,2,0,2,5,1,504,239000,3
10197,6,5,1362,1,1,3,6,1,504,163000,2
12416,6,5,1606,2,0,3,7,1,616,184000,2
12615,6,7,1202,2,0,4,7,1,576,243000,3
10029,6,5,1151,2,1,4,8,1,521,211000,2
13650,5,5,1052,2,0,4,8,1,451,172500,2
17423,9,5,2216,2,0,1,9,1,1166,501837,3
8520,5,6,968,1,0,2,5,0,480,100000,1
2117,6,5,756,2,1,3,5,1,440,177000,2
7588,7,6,793,1,1,4,9,1,216,200100,2
9060,5,6,0,1,0,3,7,1,252,120000,2
11426,7,5,1362,2,1,3,6,0,484,200000,2
7438,5,8,504,1,0,3,5,0,576,127000,2
22950,10,9,1107,2,1,4,12,2,840,475000,3
9947,7,5,1188,2,0,3,6,0,497,173000,2
10410,5,7,660,2,1,3,8,0,180,135000,2
7018,5,5,1086,0,2,2,6,2,528,153337,2
4923,8,5,1593,1,1,0,5,1,682,286000,3
10570,8,8,853,2,1,3,10,2,440,315000,3
7472,7,9,725,1,1,4,7,0,484,184000,2
9017,7,5,1431,2,0,3,6,0,666,192000,2
2522,7,5,970,2,0,3,7,0,380,130000,2
7180,5,7,864,1,0,3,5,0,352,127000,2
2280,6,6,855,2,1,3,7,1,440,148500,2
9416,7,5,1726,2,0,3,8,1,786,311872,3
25419,8,4,1360,2,0,4,8,1,795,235000,3
5520,6,6,755,1,0,5,8,0,0,104000,1
9591,8,5,1713,2,0,3,7,1,856,274900,3
8546,4,5,1121,2,0,2,5,0,440,140000,2
10125,6,6,1196,2,0,3,6,2,473,171500,2
7000,6,6,617,2,0,2,6,0,398,112000,1
4438,6,5,848,1,0,1,3,1,420,149000,2
3500,5,7,720,1,1,2,5,0,240,110000,1
11851,7,5,1424,2,0,3,5,0,500,180500,2
13673,5,5,1140,1,1,3,8,1,349,143900,2
12493,4,5,1100,1,0,3,6,1,312,141000,2
14364,7,5,1157,2,1,3,7,1,454,277000,3
8250,6,7,1092,1,0,3,6,0,504,145000,2
5604,5,6,864,1,0,2,5,0,0,98000,1
10420,6,5,1212,2,0,3,6,0,460,186000,2
8640,7,5,900,2,1,3,7,1,644,252678,3
13568,5,5,990,1,0,3,5,0,576,156000,2
10900,6,7,689,1,1,3,6,0,299,161750,2
10011,5,6,1070,1,0,2,6,1,447,134450,2
8450,7,5,1436,2,0,3,8,0,484,210000,2
9906,4,4,686,1,0,3,8,0,210,107000,1
15660,7,9,798,1,1,3,8,2,431,311500,3
3010,7,5,1248,2,0,2,5,0,438,167240,2
8990,7,5,1498,2,0,2,5,0,675,204900,2
8068,6,5,1010,2,1,4,8,1,390,200000,2
11475,6,6,713,2,1,3,6,1,434,179900,2
10500,4,6,864,1,0,2,4,0,576,97000,1
13472,10,5,2392,2,0,3,8,1,968,386250,3
1680,5,5,630,2,1,3,6,0,280,112000,1
9950,7,5,1203,2,1,4,9,1,721,290000,3
1869,6,6,483,1,1,2,5,0,280,106000,1
8521,5,5,912,1,0,3,5,1,336,125000,2
3182,7,5,1373,2,0,2,7,1,430,192500,2
8760,6,6,1194,1,0,3,6,0,312,148000,2
15138,8,5,1462,2,1,4,9,1,810,403000,3
1680,6,5,483,1,1,2,5,1,288,94500,1
10650,5,6,894,1,0,3,5,0,308,128200,2
7851,6,5,860,2,1,4,8,2,440,216500,2
1680,6,3,483,1,1,2,5,0,264,89500,1
8773,7,5,1414,2,0,3,6,0,494,185500,2
9453,7,7,996,2,1,3,7,0,457,194500,2
12030,8,5,1694,2,0,3,7,0,818,318000,3
8741,6,4,735,1,1,3,7,1,220,113000,1
9000,8,5,1566,2,0,3,7,0,750,262500,3
3880,5,9,686,1,0,2,4,0,0,110500,1
5000,5,4,540,1,0,3,6,0,352,79000,1
10762,6,6,626,1,1,3,6,1,288,120000,2
8880,7,5,948,2,1,3,8,2,463,205000,2
10400,7,5,1845,2,0,3,6,1,604,241500,3
9142,6,8,1020,2,0,4,9,0,440,137000,2
11310,6,5,1367,1,0,2,5,1,451,140000,2
11317,7,5,840,2,1,3,8,0,500,180000,2
159000,6,7,1444,2,0,4,7,2,389,277000,3
5350,3,2,728,1,0,3,6,0,0,76500,1
4750,8,5,1573,2,0,2,5,1,538,235000,3
8366,6,5,798,2,1,3,6,0,520,173000,2
9350,6,7,1302,2,0,3,7,0,309,158000,2
8400,5,6,1314,1,0,3,5,0,294,145000,2
8738,7,5,975,2,1,4,8,1,429,230000,2
8791,6,5,864,2,1,3,7,0,673,207500,2
8814,7,5,1604,2,1,3,8,1,660,220000,2
12435,7,5,963,2,1,3,7,1,564,231500,3
12702,5,5,0,1,0,2,4,0,308,97000,1
19296,6,5,1362,1,0,3,6,1,884,176000,2
9588,8,5,1482,2,1,3,10,1,868,276000,3
8471,6,7,506,1,0,3,6,1,492,151000,2
5500,5,7,926,1,0,3,6,0,484,130000,2
5232,5,5,680,1,0,2,4,0,504,73000,1
12090,6,6,1422,2,0,3,7,1,576,175500,2
11207,6,5,802,2,1,3,8,1,413,185000,2
8400,5,8,720,2,1,4,8,1,240,179500,2
6900,5,6,740,1,0,2,4,1,924,120500,2
7917,6,7,1143,1,1,3,6,1,504,148000,2
10728,8,5,1095,2,1,3,8,1,1053,266000,3
39104,7,7,1385,1,0,2,5,2,439,241500,3
11764,8,7,1152,2,1,4,9,1,671,290000,3
9600,6,6,1240,2,0,3,6,1,338,139000,2
8314,5,7,816,1,0,2,5,0,264,124500,2
7264,7,7,952,2,1,3,5,0,672,205000,2
9196,7,5,1560,2,0,3,7,0,573,201000,2
19138,4,5,864,1,0,2,4,0,400,141000,2
14450,9,5,2121,2,1,3,8,1,732,415298,3
10005,7,5,1160,2,1,4,8,1,505,192000,2
11287,7,6,807,2,1,3,7,1,575,228500,2
7200,6,5,1262,2,0,2,5,0,572,185000,2
5063,7,5,1314,2,0,2,6,1,626,207500,2
9612,8,5,1468,2,0,3,6,1,898,244600,3
8012,6,5,1575,2,0,2,5,0,529,179200,2
4251,7,5,625,2,1,2,5,0,528,164700,2
9786,6,7,912,1,1,3,7,1,440,159000,2
8125,4,4,858,1,0,3,5,0,0,88000,1
9819,5,5,882,1,0,3,5,0,280,122000,2
8730,6,7,698,1,0,3,7,0,384,153575,2
15611,8,5,1079,2,1,3,8,1,685,233230,3
5687,5,6,780,2,0,6,9,0,0,135900,2
11409,5,4,768,1,1,3,8,1,281,131000,2
16659,7,7,795,2,1,3,9,1,539,235000,3
9600,6,5,1416,1,0,3,7,2,418,167000,2
7937,6,6,1003,1,0,3,6,0,588,142500,2
13710,5,5,910,1,1,4,6,0,282,152000,2
7399,7,5,975,2,1,3,7,1,576,239000,3
11700,6,6,702,1,2,3,7,1,539,175000,2
14000,6,8,1092,1,0,3,6,1,300,158500,2
15750,5,5,1165,1,0,2,5,2,375,157000,2
16226,8,5,1028,2,1,4,9,1,683,267000,3
13704,7,5,1541,2,0,3,6,1,843,205000,2
9800,5,7,894,1,0,3,5,0,552,149900,2
18386,7,9,1470,3,0,3,10,1,870,295000,3
10386,8,5,2000,2,0,3,8,0,888,305900,3
13474,7,5,700,2,1,4,8,1,746,225000,2
7920,6,7,319,1,0,3,6,0,0,89500,1
12342,4,5,861,1,0,1,4,0,539,82500,1
12378,9,5,1896,2,0,3,8,3,708,360000,3
7685,6,5,697,2,1,3,6,1,420,165600,2
8000,6,6,972,1,0,2,5,1,240,132000,2
7800,5,7,793,1,0,3,5,1,410,119900,2
215245,7,5,2136,2,0,3,8,2,513,375000,3
9600,7,7,728,1,1,3,6,1,546,178000,2
7795,7,5,716,2,1,3,6,1,432,188500,2
13005,7,7,845,2,1,4,10,1,484,260000,3
9000,8,5,1088,2,1,3,8,1,1025,270000,3
9900,7,5,1347,2,1,4,9,1,656,260000,3
14115,7,5,1372,2,0,3,6,2,588,187500,2
16259,9,5,1249,3,1,4,9,0,840,342643,3
12099,8,5,1136,2,1,4,10,1,872,354000,3
10380,7,5,1502,2,1,4,8,1,576,301000,3
5820,3,8,1162,1,0,3,6,0,220,126175,2
11275,7,7,710,2,1,5,11,1,564,242000,3
5000,5,6,720,1,0,2,5,0,360,87000,1
10846,8,5,1719,1,1,1,6,2,473,324000,3
11600,6,5,1383,1,1,3,7,0,292,145250,2
11888,6,6,844,2,0,5,10,0,441,214500,2
6402,5,5,596,1,0,3,6,0,189,78000,1
10624,5,4,1728,2,0,6,10,0,352,119000,2
8176,5,6,1056,1,0,3,6,0,308,139000,2
10655,8,5,3206,2,0,3,7,1,880,284000,3
8198,7,5,1358,2,0,2,6,1,484,207000,2
9042,6,5,943,2,1,3,7,2,472,192000,2
164660,5,6,1499,2,0,3,7,2,529,228950,2
14157,9,5,1922,2,0,3,8,1,676,377426,3
9135,7,5,1536,2,0,3,7,0,532,214000,2
14145,7,7,1208,2,0,3,8,0,440,202500,2
12400,6,7,1215,1,0,3,6,0,297,155000,2
14191,8,5,967,2,1,4,9,0,431,202900,2
8400,4,4,721,1,0,2,4,0,294,82000,1
8544,3,4,0,2,0,2,6,0,400,87500,1
8849,9,5,1684,2,0,2,6,1,564,266000,3
2592,5,3,536,1,1,3,4,0,336,85000,1
6435,6,5,972,1,0,3,6,1,312,140200,2
12772,6,8,958,1,0,2,5,0,301,151500,2
17600,6,5,1478,2,0,3,6,2,498,157500,2
2448,7,5,764,2,1,2,6,0,474,154000,2
20431,9,5,1848,2,1,4,10,2,706,437154,3
7820,9,5,1869,2,0,2,6,1,617,318061,3
5271,7,5,1453,1,1,2,6,1,445,190000,2
9084,5,6,616,1,0,3,5,0,200,95000,1
8520,6,8,624,1,0,2,5,0,484,105900,1
8400,6,5,940,1,0,2,6,2,240,140000,2
11249,6,5,1200,2,0,3,6,0,521,177500,2
9248,6,6,1158,2,0,3,6,0,400,173000,2
4224,5,5,1142,1,1,3,6,1,528,134000,2
6930,5,4,1062,1,0,3,6,0,288,130000,2
12011,8,5,1086,2,1,3,7,1,592,280000,3
7540,6,6,888,1,0,2,5,1,470,156000,2
9144,5,5,883,1,0,3,8,0,240,145000,2
7301,7,5,0,3,0,4,7,1,672,198500,2
1680,6,8,483,1,1,2,5,0,264,118000,2
18800,6,5,796,2,1,3,6,1,566,190000,2
10690,5,7,672,1,0,3,6,0,468,147000,2
9500,6,5,1394,1,1,3,6,2,514,159000,2
9150,6,5,1099,1,0,3,6,1,296,165000,2
7800,5,6,1268,1,0,2,7,1,244,132000,2
9830,5,7,1063,1,0,3,7,1,576,162000,2
8121,6,5,953,2,1,3,7,1,460,172400,2
17120,4,4,0,2,0,4,7,1,680,134432,2
7175,6,5,744,1,0,2,4,0,264,125000,2
10634,5,6,608,1,0,3,5,0,270,123000,2
8200,7,5,847,2,1,4,8,1,434,219500,2
10020,1,1,683,0,1,1,4,0,0,61000,1
8846,5,5,870,1,0,2,5,0,576,148000,2
11143,8,5,1580,3,0,4,8,1,610,340000,3
11394,9,2,1856,1,1,1,8,1,834,394432,3
8123,6,5,982,2,1,3,7,1,463,179000,2
5000,5,6,1026,2,0,3,6,1,308,127000,2
7200,7,5,1293,2,0,2,5,1,572,187750,2
9245,7,5,939,2,1,3,8,0,639,213500,2
9000,6,3,784,1,0,2,5,0,360,76000,1
53107,6,5,1580,2,1,3,9,2,501,240000,3
3182,8,5,1256,2,0,2,6,1,430,192000,2
8410,5,3,658,1,0,5,8,0,0,81000,1
7200,6,6,1041,1,0,3,6,1,352,125000,2
9382,7,5,1468,2,0,3,6,0,577,191000,2
12474,10,5,1682,2,1,3,9,1,846,426000,3
8405,5,8,861,1,0,4,7,0,384,119000,2
12209,6,5,804,2,1,3,7,1,560,215000,2
8339,5,7,0,1,0,3,5,0,294,106500,1
7446,4,5,788,1,0,2,4,2,0,100000,1
10134,5,6,735,1,0,2,5,0,240,109000,1
9571,5,6,1144,1,0,3,6,0,596,129000,2
7200,5,5,894,1,0,2,6,0,600,123000,2
7590,5,5,864,2,0,4,8,1,264,169500,2
8967,5,2,961,1,0,2,6,0,338,67000,1
8125,7,5,1092,2,0,2,7,0,438,241000,3
14963,8,5,1260,1,1,1,4,2,500,245500,3
8767,7,5,1310,2,0,3,6,1,400,164990,2
10200,5,8,672,1,0,2,4,0,240,108000,1
12090,8,5,1141,2,1,4,10,1,420,258000,3
10364,6,5,806,2,1,3,7,1,373,168000,2
9991,4,4,1281,2,0,3,8,1,490,150000,2
10480,6,5,1064,1,0,3,6,0,240,115000,1
15576,6,7,840,2,0,4,8,0,308,177000,2
14154,7,5,1063,2,1,3,9,1,947,280000,3
10800,8,5,1034,2,1,3,8,1,836,339750,3
9571,5,3,1276,1,0,3,5,0,350,60000,1
34650,5,5,1056,1,0,3,5,0,572,145000,2
4403,7,5,1470,2,1,2,7,1,484,222000,2
8960,5,6,1008,1,0,2,5,1,360,115000,1
11228,7,5,1080,2,1,3,9,1,678,228000,2
8899,7,5,1340,2,0,3,6,0,396,181134,2
7844,6,7,672,1,1,3,6,1,440,149500,2
22420,6,6,1370,2,1,4,10,1,864,239000,3
8160,5,6,756,1,1,3,7,0,240,126000,2
8450,5,6,1056,1,0,3,6,1,304,142000,2
7060,7,5,1344,2,0,2,8,0,784,206300,2
16635,6,7,1602,2,0,3,8,1,529,215000,2
21750,5,5,988,1,0,2,4,0,520,113000,1
9200,8,5,1470,2,1,4,8,1,696,315000,3
9000,6,5,1196,1,0,2,6,1,297,139000,2
3378,7,8,651,1,1,3,6,2,240,135000,2
12800,7,5,1518,2,0,2,5,1,569,275000,3
8593,4,6,907,1,0,3,5,0,352,109008,1
6762,7,5,1208,2,0,2,6,0,628,195400,2
11457,6,5,1392,2,0,3,6,1,576,175000,2
1680,6,5,483,1,1,2,4,0,264,85400,1
5586,6,7,901,1,0,4,7,0,0,79900,1
1920,5,5,765,1,1,2,6,0,440,122500,2
10839,6,5,926,2,1,3,7,1,470,181000,2
1890,4,7,630,1,0,1,3,0,0,81000,1
10667,7,6,799,2,1,3,6,1,550,212000,2
4400,6,8,648,1,0,2,6,0,440,116000,1
6000,6,7,884,1,0,2,4,0,180,119000,2
4280,5,6,440,1,0,2,4,1,352,90350,1
12354,6,8,684,1,0,3,7,0,528,110000,1
15431,10,5,3094,2,0,2,10,2,672,555000,3
12108,4,4,1440,2,0,4,8,0,0,118000,2
6240,5,7,1078,2,0,3,8,1,360,162900,2
3922,7,5,1258,2,0,2,6,1,648,172500,2
8750,7,5,915,2,1,4,8,1,493,210000,2
9855,6,5,1436,1,0,3,7,1,480,127500,2
16492,6,6,1517,2,1,2,6,1,578,190000,2
11214,7,5,930,2,1,4,10,1,431,199900,2
8600,6,6,780,2,0,3,7,1,198,119500,2
6000,3,7,649,1,1,2,6,0,308,120000,2
5684,6,8,813,1,0,2,5,0,270,110000,1
70761,7,5,1533,2,0,2,5,2,576,280000,3
9303,6,5,872,2,1,3,7,0,422,204000,2
9000,8,5,768,2,1,3,6,0,676,210000,2
9297,5,5,1728,2,0,4,8,0,560,188000,2
9600,7,6,1242,1,1,3,6,1,528,175500,2
4571,5,5,624,1,0,4,7,0,513,98000,1
53227,4,6,1364,1,0,2,6,2,529,256000,3
5100,8,7,588,1,0,3,7,1,228,161000,2
7015,5,4,709,1,0,3,5,1,352,110000,1
8004,8,5,832,2,1,3,8,0,552,263435,3
7200,7,9,560,1,0,3,6,0,576,155000,2
8281,5,5,864,1,0,3,5,1,360,62383,1
11988,6,7,715,1,1,3,6,1,240,188700,2
8430,5,5,1040,2,0,3,5,0,0,124000,2
3072,7,5,1375,2,0,2,6,1,398,178740,2
10628,7,5,1277,1,0,2,5,1,526,167000,2
9480,5,7,728,1,1,3,7,2,312,146500,2
11428,8,5,1626,2,0,3,7,1,866,250000,3
9291,6,5,832,2,1,3,7,0,506,187000,2
6820,8,5,1488,1,1,1,4,0,528,212000,2
11952,7,6,808,2,1,3,8,1,534,190000,2
3675,6,5,547,1,0,2,5,0,525,148000,2
14977,8,5,1976,2,0,2,7,1,908,440000,3
5330,8,5,1494,2,0,2,6,0,499,251000,3
8480,5,6,970,1,0,2,5,0,624,132500,2
13125,6,5,1478,2,0,3,7,1,508,208900,2
13693,9,5,2153,2,1,3,9,1,694,380000,3
10637,8,5,1705,2,0,3,7,1,826,297000,3
5925,4,7,907,1,0,2,7,0,672,89471,1
16033,9,5,1833,2,0,3,8,1,772,326000,3
11846,9,5,1792,2,0,2,6,1,874,374000,3
2500,7,8,910,1,1,4,7,1,164,155000,2
4500,6,5,1216,2,0,2,5,0,402,164000,2
7758,5,7,999,1,0,3,6,0,264,132500,2
9600,5,7,1113,1,0,3,5,1,264,147000,2
10289,5,7,1073,1,1,3,6,0,515,156000,2
12243,5,6,1484,2,0,3,7,1,487,175000,2
10800,5,4,954,2,0,3,10,1,520,160000,2
1526,4,8,630,1,0,1,3,0,286,86000,1
2665,5,6,264,1,1,3,4,1,336,115000,1
9490,6,7,806,1,0,3,5,2,240,133000,2
15578,6,5,728,2,1,3,8,0,429,172785,2
7931,5,6,1269,1,1,3,6,1,308,155000,2
5784,5,8,190,1,0,2,4,0,273,91300,1
7879,4,5,720,1,0,2,4,0,0,34900,1
12692,8,5,3200,3,0,4,10,1,546,430000,3
9120,7,6,1026,2,0,4,8,0,240,184000,2
7800,5,7,864,1,0,3,5,0,288,130000,2
7535,5,7,912,1,0,2,5,0,297,120000,2
1890,6,5,672,1,1,3,7,0,264,113000,1
9803,7,5,866,2,1,3,7,0,603,226700,2
9170,5,7,1214,1,0,2,6,0,461,140000,2
15602,7,8,1501,2,0,1,6,2,484,289000,3
2308,6,5,855,2,1,3,6,1,440,147000,2
7596,5,5,960,2,0,4,10,0,400,124500,2
9554,8,5,777,2,1,3,8,1,471,215000,2
7862,6,5,1218,2,0,2,4,0,676,208300,2
9600,7,9,689,2,0,3,7,1,360,161000,2
9600,5,6,1041,1,0,3,6,0,270,124500,2
14559,5,7,1008,1,0,2,6,2,288,164900,2
6792,7,5,1368,2,0,2,6,1,474,202665,2
9100,5,5,864,1,0,3,5,0,624,129900,2
9187,6,5,1084,1,1,3,5,0,484,134000,2
10594,5,5,768,1,0,2,5,0,200,96500,1
12220,10,5,2006,2,1,3,9,1,900,402861,3
10448,6,6,689,2,1,3,7,1,583,158000,2
10208,7,5,1264,2,1,3,7,1,889,265000,3
9531,6,5,794,2,1,3,7,0,546,211000,2
10918,7,9,1276,1,1,3,9,2,282,234000,3
10800,4,7,0,2,0,3,7,0,0,106250,1
